id	name	pop_2000	x	y
1398	Chester	3614	591436.6556	4837915.078
1399	Greig	1365	480167.9446	4839013.62
1400	Johnsburg	2450	576388.4784	4831241.426
1401	Ohio	922	506375.404	4813921.559
1402	Ellisburg	3541	406464.2741	4844309.872
1403	Boylston	505	422549.7611	4834037.958
1404	Dresden	677	622575.521	4829999.829
1405	Redfield	607	433104.6705	4826562.005
1406	Wells	737	558772.604	4813672.235
1407	Morehouse	151	522065.1859	4813161.992
1408	Osceola	265	444105.0468	4823559.081
1409	Lake Pleasant	876	546317.4603	4824167.307
1410	Sandy Creek	3863	411129.3836	4831912.535
1411	Hampton	871	638429.2574	4822939.488
1412	Williamstown	1350	427467.7568	4812102.846
1413	Stony Creek	743	579062.1078	4808688.419
1414	Boonville	4572	476308.5653	4812629.914
1415	Florence	1086	439853.3478	4808028.852
1416	Ava	725	463359.73	4807727.11
1417	Mexico	5181	402511.9951	4812036.419
1418	Amboy	1312	424575.5293	4803352.075
1419	Granville	6456	636922.4484	4808707.619
1420	Palermo	3686	397770.6402	4801998.056
1421	Milton	17103	589626.382	4765915.505
1422	Malta	13005	598823.1872	4759899.324
1423	Sherrill	3147	451069.1694	4768848.599
1424	Vernon	5335	456673.7376	4768259.74
1425	Queensbury	25441	607321.7378	4801849.008
1426	Deerfield	3906	487892.5423	4780842.144
1427	Marcy	9469	478354.506	4780080.887
1428	New Rochelle	72182	602838.2565	4530764.82
1429	Turin	793	465364.0179	4834640.956
1430	Orwell	1254	423023.5705	4823676.072
1431	Forestport	1692	487489.9504	4815863.885
1432	Whitehall	4035	630848.7074	4821699.108
1433	Lyonsdale	1273	480098.8273	4828169.11
1434	Thurman	1199	582371.0482	4817282.545
1435	Leyden	1792	469383.69	4820183.961
1436	Richland	5824	408066.9707	4822164.274
1437	West Turin	1674	458847.7927	4826906.629
1438	Lewis	857	454619.6203	4814193.593
1439	New Haven	2930	393640.6607	4813972.295
1440	Albion	2083	416608.3998	4816266.591
1441	Hartford	2279	628108.7375	4801919.722
1442	Parma	14822	273016.2197	4794055.061
1443	Salisbury	1953	516708.0463	4784859.25
1444	Remsen	1958	488183.4976	4801142.831
1445	Porter	6920	177570.7553	4796447.667
1446	Edinburg	1384	575490.0151	4786349.08
1447	Kingsbury	11171	618374.155	4800057.197
1448	Sodus	8949	333384.5996	4787254.69
1449	Victory	1838	365650.3936	4785222.004
1450	Clarendon	3392	251580.5731	4784725.729
1451	Sweden	13716	261004.1881	4784899.278
1452	Irondequoit	52354	291158.8537	4787306.486
1453	Clarkson	6072	262750.865	4793086.321
1454	Barre	2124	238844.7774	4784959.994
1455	Corinth	5985	590389.8923	4786674.063
1456	Webster	37926	301396.5766	4789181.135
1457	Huron	2117	346323.1195	4789623.425
1458	Moreau	13826	608283.5189	4789082.339
1459	Hastings	8803	406095.8514	4797169.955
1460	Williamson	6777	322031.9347	4789990.831
1461	Ontario	9778	312124.4304	4790146.165
1462	Gaines	3740	239816.1219	4796821.982
1463	Albion	8042	239496.4123	4791608.233
1464	Stratford	640	530091.0022	4781848.27
1465	Fort Edward	5892	616929.5069	4787325.269
1466	Cambria	5393	189496.3604	4787514.983
1467	Norway	711	504489.984	4785463.676
1468	Ridgeway	6886	225619.2417	4795444.544
1469	Lockport	19653	201053.7481	4784917.864
1470	Hartland	4165	211903.0627	4795836.565
1471	Shelby	5420	224718.6501	4785684.052
1472	Murray	6259	251741.402	4793656.167
1473	Constantia	5141	422091.327	4789544.132
1474	Argyle	3688	624237.7298	4788402.801
1475	Schroeppel	8566	396542.9978	4791036.173
1476	Lewiston	16257	177530.6477	4788059.943
1477	Trenton	4670	483599.9965	4789119.489
1478	Wolcott	4692	356430.5094	4792276.696
1479	Bleecker	573	550138.4679	4780262.786
1480	Northampton	2760	567056.8403	4782613.427
1481	Ogden	18492	270589.5318	4782955.176
1482	Caroga	1407	540632.3306	4778157.723
1483	Russia	2487	494550.3595	4794281.279
1484	Butler	2277	356276.4245	4781701.187
1485	Walworth	8402	311957.7743	4781550.273
1486	Penfield	34645	300938.078	4781523.476
1487	Northumberland	4603	611331.7117	4779713.963
1488	Marion	4974	321632.1622	4781252.876
1489	Rose	2442	345914.5879	4780466.565
1490	Gates	29275	279414.7418	4781197.958
1491	Niagara	8978	176093.9966	4781342.793
1492	Wheatfield	14086	183953.1339	4778958.754
1493	Clarence	26123	203594.1668	4769416.527
1494	Riga	5437	265939.5388	4773724.513
1495	Victor	9977	302081.5775	4762500.687
1496	Cicero	27982	413337.6001	4779817.739
1497	Salem	2702	636569.9312	4780330.362
1498	Pendleton	6050	193502.2976	4778971.028
1499	Brighton	35588	289810.3958	4777104.619
1500	Ira	2426	374969.9281	4785672.011
1501	Cato	2744	375090.3589	4775946.404
1502	Conquest	1925	365791.4473	4775319.694
1503	Byron	2493	250486.6527	4774829.865
1504	Providence	1841	577739.8552	4774210.503
1505	Schuyler	3385	492610.2969	4772493.928
1506	Van Buren	12667	389445.9361	4775156.96
1507	Lysander	19285	388298.4863	4781711.249
1508	Chili	27638	275824.4123	4773888.358
1509	Jackson	1718	632210.0467	4771750.668
1510	Royalton	7710	211951.4609	4783724
1511	East Rochester	6650	297662.807	4776277.896
1512	Fairfield	1607	506333.5784	4774926.955
1513	Clay	58805	402844.3632	4781591.589
1514	Newport	2192	497053.4157	4780572.286
1515	Savannah	1838	356910.6064	4771188.896
1516	Grand Island	18621	177140.0219	4770620.059
1517	Perinton	46090	302323.3977	4772357.655
1518	Elba	2439	241660.4244	4775537.542
1519	Bergen	3182	258180.1452	4775309.599
1520	Henrietta	39028	284903.9015	4770373.482
1521	Pittsford	27219	294281.9739	4772052.844
1522	Salina	33290	404245.5424	4772854.811
1523	Oakfield	3203	233703.2058	4775699.645
1524	New Hartford	21172	477030.5086	4767368.872
1525	Rome	34950	460138.1047	4786032.259
1526	Annsville	2956	449531.8517	4799775.124
1527	Mount Vernon	68381	598603.6924	4529827.523
1528	Alabama	1881	224223.0146	4775496.446
1529	Manheim	3171	516153.636	4768181.075
1530	Ephratah	1693	536362.5607	4765476.534
1531	Galen	4439	346553.2969	4770364.995
1532	Oppenheim	1774	525738.6783	4769452.836
1533	Greenwich	4896	623782.6753	4777539.828
1534	Macedon	8688	311991.0359	4772208.553
1535	Easton	2259	618654.9846	4764282.739
1536	Lyons	5831	337244.3237	4772535.083
1537	Batavia	5915	237043.9559	4766000.746
1538	Palmyra	7672	321590.5386	4772405.927
1539	Newstead	8404	213116.8287	4769220.492
1540	Broadalbin	5066	568594.3515	4769651.702
1541	De Witt	24071	412768.657	4766932.143
1542	Mayfield	6432	560189.3874	4774939.54
1543	Brutus	4777	374119.8295	4767037.146
1544	Wheatland	5149	270396.3166	4766051.336
1545	Elbridge	6091	382819.6965	4767747.966
1546	Farmington	10585	311786.8818	4762237.657
1547	Kirkland	10138	468516.6943	4764980.649
1548	Mentz	2446	367070.5047	4766707.105
1549	Sullivan	14991	428431.1105	4771425.353
1550	Geddes	17740	400280.7484	4769996.675
1551	Camillus	23152	393678.4267	4767623.212
1552	Lima	4541	286887.1182	4752316.531
1553	Augusta	1966	459040.7677	4758401.3
1554	Cazenovia	6481	429509.9244	4751414.898
1555	Minden	4202	524686.924	4752759.615
1556	Western	2029	468404.3861	4798438.768
1557	Lee	6875	458040.2106	4797112.873
1558	Olean	2029	216762.6613	4662296.665
1559	Allegany	8230	208737.4044	4665433.399
1560	White Plains	53077	604698.402	4541957.335
1561	Scarsdale	17823	602841.5124	4538397.562
1562	Greenburgh	86764	597420.1699	4543068.489
1563	North Castle	10849	609559.4024	4554355.024
1564	Pembroke	4530	223914.6504	4765768.322
1565	St Johnsville	2565	526246.9482	4761596.948
1566	Manlius	31872	420244.1536	4766713.345
1567	German Flatts	13629	501603.1816	4759360.683
1568	Fenner	1680	436600.2873	4757882.525
1569	Smithfield	1205	445104.2848	4757590.139
1570	Le Roy	7790	257712.0481	4764400.705
1571	Ballston	8729	591382.9363	4756323.116
