id	name	pop_2000	x	y
1462	Gaines	3740	239,816.1219	4,796,821.982
1463	Albion	8042	239,496.4123	4,791,608.233
1464	Stratford	640	530,091.0022	4,781,848.27
1465	Fort Edward	5892	616,929.5069	4,787,325.269
1466	Cambria	5393	189,496.3604	4,787,514.983
1467	Norway	711	504,489.984	4,785,463.676
1468	Ridgeway	6886	225,619.2417	4,795,444.544
1469	Lockport	19653	201,053.7481	4,784,917.864
1470	Hartland	4165	211,903.0627	4,795,836.565
1471	Shelby	5420	224,718.6501	4,785,684.052
1472	Murray	6259	251,741.402	4,793,656.167
1473	Constantia	5141	422,091.327	4,789,544.132
1474	Argyle	3688	624,237.7298	4,788,402.801
1475	Schroeppel	8566	396,542.9978	4,791,036.173
1476	Lewiston	16257	177,530.6477	4,788,059.943
1477	Trenton	4670	483,599.9965	4,789,119.489
1478	Wolcott	4692	356,430.5094	4,792,276.696
1479	Bleecker	573	550,138.4679	4,780,262.786
1480	Northampton	2760	567,056.8403	4,782,613.427
1481	Ogden	18492	270,589.5318	4,782,955.176
1482	Caroga	1407	540,632.3306	4,778,157.723
1483	Russia	2487	494,550.3595	4,794,281.279
1484	Butler	2277	356,276.4245	4,781,701.187
1485	Walworth	8402	311,957.7743	4,781,550.273
1486	Penfield	34645	300,938.078	4,781,523.476
1487	Northumberland	4603	611,331.7117	4,779,713.963
1488	Marion	4974	321,632.1622	4,781,252.876
1489	Rose	2442	345,914.5879	4,780,466.565
1490	Gates	29275	279,414.7418	4,781,197.958
1491	Niagara	8978	176,093.9966	4,781,342.793
1492	Wheatfield	14086	183,953.1339	4,778,958.754
1493	Clarence	26123	203,594.1668	4,769,416.527
1494	Riga	5437	265,939.5388	4,773,724.513
1495	Victor	9977	302,081.5775	4,762,500.687
1496	Cicero	27982	413,337.6001	4,779,817.739
1497	Salem	2702	636,569.9312	4,780,330.362
1498	Pendleton	6050	193,502.2976	4,778,971.028
1499	Brighton	35588	289,810.3958	4,777,104.619
1500	Ira	2426	374,969.9281	4,785,672.011
1501	Cato	2744	375,090.3589	4,775,946.404
1502	Conquest	1925	365,791.4473	4,775,319.694
1503	Byron	2493	250,486.6527	4,774,829.865
1504	Providence	1841	577,739.8552	4,774,210.503
1505	Schuyler	3385	492,610.2969	4,772,493.928
1506	Van Buren	12667	389,445.9361	4,775,156.96
1507	Lysander	19285	388,298.4863	4,781,711.249
1508	Chili	27638	275,824.4123	4,773,888.358
1509	Jackson	1718	632,210.0467	4,771,750.668
1510	Royalton	7710	211,951.4609	4783724
1511	East Rochester	6650	297,662.807	4,776,277.896
1512	Fairfield	1607	506,333.5784	4,774,926.955
1513	Clay	58805	402,844.3632	4,781,591.589
1514	Newport	2192	497,053.4157	4,780,572.286
1515	Savannah	1838	356,910.6064	4,771,188.896
1516	Grand Island	18621	177,140.0219	4,770,620.059
1517	Perinton	46090	302,323.3977	4,772,357.655
1518	Elba	2439	241,660.4244	4,775,537.542
1519	Bergen	3182	258,180.1452	4,775,309.599
1520	Henrietta	39028	284,903.9015	4,770,373.482
1521	Pittsford	27219	294,281.9739	4,772,052.844
1522	Salina	33290	404,245.5424	4,772,854.811
1523	Oakfield	3203	233,703.2058	4,775,699.645
1524	New Hartford	21172	477,030.5086	4,767,368.872
1525	Rome	34950	460,138.1047	4,786,032.259
1526	Annsville	2956	449,531.8517	4,799,775.124
1527	Mount Vernon	68381	598,603.6924	4,529,827.523
1528	Alabama	1881	224,223.0146	4,775,496.446
1529	Manheim	3171	516,153.636	4,768,181.075
1530	Ephratah	1693	536,362.5607	4,765,476.534
1531	Galen	4439	346,553.2969	4,770,364.995
1532	Oppenheim	1774	525,738.6783	4,769,452.836
1533	Greenwich	4896	623,782.6753	4,777,539.828
1534	Macedon	8688	311,991.0359	4,772,208.553
1535	Easton	2259	618,654.9846	4,764,282.739
1536	Lyons	5831	337,244.3237	4,772,535.083
1537	Batavia	5915	237,043.9559	4,766,000.746
1538	Palmyra	7672	321,590.5386	4,772,405.927
1539	Newstead	8404	213,116.8287	4,769,220.492
1540	Broadalbin	5066	568,594.3515	4,769,651.702
1541	De Witt	24071	412,768.657	4,766,932.143
1542	Mayfield	6432	560,189.3874	4,774,939.54
1543	Brutus	4777	374,119.8295	4,767,037.146
1544	Wheatland	5149	270,396.3166	4,766,051.336
1545	Elbridge	6091	382,819.6965	4,767,747.966
1546	Farmington	10585	311,786.8818	4,762,237.657
1547	Kirkland	10138	468,516.6943	4,764,980.649
1548	Mentz	2446	367,070.5047	4,766,707.105
1549	Sullivan	14991	428,431.1105	4,771,425.353
1550	Geddes	17740	400,280.7484	4,769,996.675
1551	Camillus	23152	393,678.4267	4,767,623.212
1552	Lima	4541	286,887.1182	4,752,316.531
1553	Augusta	1966	459,040.7677	4,758,401.3
1554	Cazenovia	6481	429,509.9244	4,751,414.898
1555	Minden	4202	524,686.924	4,752,759.615
1556	Western	2029	468,404.3861	4,798,438.768
1557	Lee	6875	458,040.2106	4,797,112.873
1558	Olean	2029	216,762.6613	4,662,296.665
1559	Allegany	8230	208,737.4044	4,665,433.399
1560	White Plains	53077	604,698.402	4,541,957.335
1561	Scarsdale	17823	602,841.5124	4,538,397.562
1562	Greenburgh	86764	597,420.1699	4,543,068.489
1563	North Castle	10849	609,559.4024	4,554,355.024
1564	Pembroke	4530	223,914.6504	4,765,768.322
1565	St Johnsville	2565	526,246.9482	4,761,596.948
1566	Manlius	31872	420,244.1536	4,766,713.345
1567	German Flatts	13629	501,603.1816	4,759,360.683
1568	Fenner	1680	436,600.2873	4,757,882.525
1569	Smithfield	1205	445,104.2848	4,757,590.139
1570	Le Roy	7790	257,712.0481	4,764,400.705
1571	Ballston	8729	591,382.9363	4,756,323.116
1572	Darien	3061	223,605.5491	4,756,618.797
1573	Marcellus	6319	391,884.7718	4,756,548.664
1574	Bethany	1760	244,255.2749	4,756,010.779
